Reference,SubReg,Aggressor,Victim,Descript,Desc1,Desc2,Desc3,Desc4,Desc5,Desc6,Date,Year,PolygonID,MRGID,GeoName,Pol_type,MRGID_Ter1,Territory1,MRGID_Sov1,Sovereign1,ISO_Ter1,MRGID_Ter2,Territory2,MRGID_Sov2,Sovereign2,ISO_Ter2,MRGID_Ter3,Territory3,MRGID_Sov3,Sovereign3,ISO_Ter3,x_1,y_1,Area_km2,MRGID_EEZ
2016-272,24,Robbers,Cargo Vessel,NA,"GUYANA:On 07 November at 0500 LT at Berbice port, vicinity 06-18N 057-32W, duty officer aboard a berthed cargo vessel noticed a robber attempting to board the vessel form the stern with a hook. Crew confronted the robber and threatened to call police.",Robber aborted the attempt. No injury to crew and nothing reported stolen.,NA,NA,NA,NA,2016-11-07,2016,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-125,24,Pirates,Vessel,NA,"SURINAME:On 28 May vicinity 05-46N 056-52W, in Nickerie, police arrested five people allegedly involved in a pirate attack that left one man dead and three others missing at sea. They said the four crew members were aboard a boat in Surinamese waters","when the pirates attacked, taking away two 48 hp outboard motor engines, tied up the four crew members and threw three crewmembers overboard. The area was searched but neither the vessel nor the other three crew members have been located.",NA,NA,NA,NA,2016-05-28,2016,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-250,24,Robbers,Sailing Yacht,NA,"COLOMBIA:On 25 November, four robbers boarded an anchored sailing yacht in Taganga Bay near position 11-16N 074-12W. They assaulted the owners of the boat and stole money, electronics and other valuables before escaping.",NA,NA,NA,NA,NA,2015-11-25,2015,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-26,24,Robbers,Sailing Yacht,NA,"BRAZIL:On 15 February, several armed robbers boarded a sailing yacht near position 02-30S 044-19W, at the Sao Luis Yacht Club in northeast Brazil. During the course of the robbery, the Dutch owner of the yacht was shot in the chest and died on the scene.",His wife jumped overboard and escaped. The robbers left the yacht and have not been apprehended.,NA,NA,NA,NA,2015-02-15,2015,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-27,24,Robbers,Sailing Schooner,NA,"BRAZIL:On 2 February, three knife wielding robbers attempted to board the sailing schooner WINDJAMMER near position 03-45S 038-35W, Fortaleza, Brazil. They tried climbing up to the main deck shouting ""pirata' pirata"" but the crew was able to fend them",off with a stout wooden boat hook. They were very aggressive constantly stabbing with very large kitchen knives. They eventually gave up trying to board and instead stabbed holes in the inflatable dingy that was still up in the davits. The crew moved to,the marina at sunrise and reported the incident to other vessel owners and were told that a French yacht anchored out of the marina had been robbed of all their electronics and money the night before.,NA,NA,NA,2015-02-02,2015,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-217,24,Robbers,Supply Tug,NA,"GUYANA:On 5 October, five robbers armed with knives boarded a berthed offshore supply tug near position 06-47N 058-10W, Georgetown Port. The duty crew discovered the water tight doors to the infirmary and laundry rooms forced open and reported the","situation to the duty officer who raised alarm. Upon hearing the alarm the robbers jumped overboard and escaped in their wooden boat. A few hours later, a duty crewman on routine rounds noticed two more robbers with knives. The duty officer raised the",alarm resulting in the robbers escaping with stolen ship's stores.,NA,NA,NA,2014-10-05,2014,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-307,24,Robbers,Bulk carrier,NA,"GUYANA:On 19 October, an anchored bulk carrier was boarded by four robbers armed with knives at position 06-48N 058-10W, Georgetown Port. The robbers threatened the duty crewman on the forecastle deck, slapped him and forced him to open the forecastle","storeroom. When the duty officer called the deck watch keeper and received no response, he raised the alarm. Upon seeing the crew response, the robbers escaped in a waiting boat with stolen items. The port authority was called, but there was no response.",NA,NA,NA,NA,2013-10-19,2013,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-287,24,Unknown,Catamaran,NA,"TOBAGO:On 26 September at 0100, four men boarded a cruising catamaran in Bloody Bay. A crewmember was restrained and threatened with a pistol while the captain attempted to repel the men and was hit with the flat side of his own machete. Another captain","of the other cruising boat in the bay was fired at twice as she attempted to approach in her dinghy. After firing at the dinghy and discovering the crew of the catamaran only had a small amount of money, the men departed the vessel in a panicked state.",Police later interviewed the captain.,NA,NA,NA,2013-09-26,2013,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-20,24,SUSPICIOUS CRAFT,TANKER ALGA,NA,"ATLANTIC OCEAN:On 17 January, the tanker ALGA experienced a suspicious approach in the vicinity of 08-02N 034-30W, approximately 1205 nm off the coast of Guinea. Two white skiffs containing an unknown number of suspected pirates attempted to advance","towards the vessel. Due to increasing speed and utilizing evasive maneuvering, the Master was able to escape without incident.",NA,NA,NA,NA,2013-01-17,2013,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-51,25,Robbers,Sailing Vessel,NA,"ST LUCIA:On 17 February, a sailing yacht was boarded and thoroughly ransacked while anchored in Marigot. The incident was reported to local authorities.",NA,NA,NA,NA,NA,2017-02-17,2017,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-45,25,Robbers,Sailing Vessel,NA,"DOMINICAN REPUBLIC:On 12 February, a robber armed with a knife boarded an anchored sailing yacht in Marina Zar Par. He threatened the couple while stealing cash, a cell phone, a wristwatch and a bottle of rum. He then escaped. Incident reported to local",authorities.,NA,NA,NA,NA,2017-02-12,2017,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-26,25,Robbers,Sailing Vessel,NA,"PUERTO RICO:On 27 January, a dinghy and outboard motor was stolen from a sailing yacht anchored inVieques Esperanza. The dinghy and outboard motor had been secured with a steel chain that had been cut. Later the dinghy was found on a nearby beach minus",the motor which had been chained to the dinghy. The owners reported the incident to the local police who noted that this was the fourth motor stolen this week.,NA,NA,NA,NA,2017-01-27,2017,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-27,25,Robbers,Sailing Vessel,NA,"DOMINICAN REPUBLIC:On 25 January, a knife-armed intruder swam on to a sailing yacht and attacked thehusband and wife in the Marina Zar Par, Boca Chica. After a struggle the intruder held a knife to the wife¿s neck and demanded and received money and",jewelry. He then tied the owners up and left. The incident was reported to port authorities.,NA,NA,NA,NA,2017-01-25,2017,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-17,25,Robbers,Sailing Vessel,NA,"SAINT VINCENT AND THE GRENADINES:On 21 January, a sailing yacht anchored near Young Island was boarded. The thief was able to steal a cell phone, dive watch, and flashlight. A report was made to the local police.",NA,NA,NA,NA,NA,2017-01-21,2017,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-243,25,Pirates,Vessel,NA,"ST. VINCENT AND THE GRENADINES:On 10 October, one yacht anchored at Chateaubelair, vicinity 13-17.4N 061-15.1W, was boarded by armed men with machetes who injured the captain as he forced the attackers back to their boat. Although a mayday call was made,",no assistance came. A nearby yacht assisted the captain.,NA,NA,NA,NA,2016-10-10,2016,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-198,25,Robbers,Sailing Vessel,NA,"GRENADA:On 17 August, robbers boarded a sailing yacht anchored in the Port Louis Marina, vicinity 12-02N 061-45W. They stole a bag containing personal effects and a large amount of cash.",NA,NA,NA,NA,NA,2016-08-17,2016,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-147,25,Robbers,Sailing Vessel,NA,"MARTINIQUE:On 01 July, a robber boarded an anchored sailing yacht in Ansa Mitan, vicinity14-32N 061-05W. Robbers stole a small outboard motor. Local authorities were notified.",NA,NA,NA,NA,NA,2016-07-01,2016,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-148,25,Robbers,Sailing Vessel,NA,"DOMINICAN REPUBLIC:On 25 June, a robber boarded an anchored sailing yacht in Santa Barbara de Samana, vicinity 19-12N 069-19W. Robbers escaped with ship's stores unnoticed. Theft was discovered by the duty crew during routine rounds. Incident reported to",port authorities and police through local agents.,NA,NA,NA,NA,2016-06-25,2016,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-52,25,Robbers,Sailing Yacht,NA,"ST LUCIA:On 2 March, three robbers, armed with a pistol, a machete, and a club, boarded an anchored sailing yacht in the harbor at Soufriere, near position 13-51N 061-04W, confronting eight passengers. The robbers demanded money at gunpoint. They were",given wallets and a camera. One woman's purse was cut off her shoulder with the machete. Her husband was struck on the head with the blunt side of the machete. Local police are investigating.,NA,NA,NA,NA,2016-03-02,2016,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-273,25,Robbers,Sailing Yachts,NA,"ST MARTIN:On 9 December near position 18-04N 063-06W, Nettle Bay, two sailing yacht crews reported having a small boat and outboard motor stolen while they were anchored. In both instances, the thieves cut through the heavy steel chains and locks","securing the boats to the yachts. One of the small boats was recovered later in the day, missing the outboard motor.",NA,NA,NA,NA,2015-12-09,2015,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-52,25,Boarders,Yacht,NA,"BRITISH VIRGIN ISLANDS:On 9 February, two masked men boarded an anchored yacht in Fat Hogs Bay. The owner heard them climbing on board and attempt to open the companion way doors. When the yacht owner yelled, the boarders proceeded to run away with the",owner in pursuit. As the masked men jumped into their dinghy they fired a shot at the yacht owner which missed and went through the boats top approx 3 feet from the owner's head.,NA,NA,NA,NA,2014-02-09,2014,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-321,25,ROBBERS,TANKER,NA,"DOMINICAN REPUBLIC:Tanker boarded on 20 November at approximately 18-26N 069-18W, at the San Pedro de Macoris Port. Robbers boarded a berthed product tanker unnoticed. They stole ship's properties and escaped. The theft was noticed by crew doing routine",ship search after departure.,NA,NA,NA,NA,2012-11-20,2012,NA,NA,High Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
