Reference,SubReg,Aggressor,Victim,Descript,Desc1,Desc2,Desc3,Desc4,Desc5,Desc6,Date,Year,PolygonID,MRGID,GeoName,Pol_type,MRGID_Ter1,Territory1,MRGID_Sov1,Sovereign1,ISO_Ter1,MRGID_Ter2,Territory2,MRGID_Sov2,Sovereign2,ISO_Ter2,MRGID_Ter3,Territory3,MRGID_Sov3,Sovereign3,ISO_Ter3,x_1,y_1,Area_km2,MRGID_EEZ
2014-247,57,Pirates,Container Vessel,NA,"NIGERIA:On 4 November, six pirates in a boat approached and fired upon an underway container vessel near position 04-03N 005-28E, 30 nm from the Bayelsa Coast. The pirates managed to come alongside the vessel, destroy part of the razor wire, and","attempted to hook on their boarding ladder. Master increased speed, took evasive maneuvers, and managed to avoid a pirate boarding. Vessel and crew are safe.",NA,NA,NA,NA,2014-11-04,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-248,57,Pirates,Tanker,NA,"NIGERIA: On 4 November, pirates boarded an underway tanker near position 03-00N 006-45E, approximately 77 nm south-southeast of Brass.",NA,NA,NA,NA,NA,2014-11-04,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-193,57,Pirates,Product Tanker,NA,"IVORY COAST:On 27 August, 12 armed pirates boarded a drifting product tanker near position 04-43N 003-30W, 45 nm southeast of Abidjan. They stole money, personal belongings and equipment from the ship while holding the crew hostage. Before departing the","vessel, the pirates destroyed the vessel's navigation system. The crew was not injured during the incident.",NA,NA,NA,NA,2014-08-27,2014,119,8473,Ivory Coast Exclusive Economic Zone,200NM,2161,Ivory Coast,2161,Ivory Coast,CIV,0,NA,0,NA,NA,0,NA,0,NA,NA,-5.4494860846,3.30806149919,172015.188351,8473
2014-194,57,Pirates,Product Tanker,NA,"NIGERIA:On 26 August, seven pirates armed with guns in a five meter long skiff fired upon an underway product tanker near position 04-08N 005-33E, 24 nm southwest of the Bayelsa State coastal area. The tanker increased speed and commenced evasive","maneuvering.The pirates tried to board the tanker, but their rope ladder fell into the sea. The pirates subsequently aborted their attack and departed the area.",NA,NA,NA,NA,2014-08-26,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-195,57,Pirates,Product Tanker,NA,"NIGERIA:On 26 August, a speed boat with six armed pirates approached an underway product tanker near position 04-14N 005-13E, 33 nm southwest of Bayelsa State coast. Onboard Nigerian naval armed security opened fire at the pirates, who returned fire. Two","pirates managed to board the vessel but remained on deck and did not enter the accommodation. The Master sent a distress signal, raised SSAS alert, informed vessels in the vicinity via VHF and contacted a nearby Nigerian Naval vessel, which responded.","The next morning, Nigerian Naval personnel boarded the vessel to investigate and search the vessel for the pirates who had boarded. The exchange of fire resulted in damage to the lifeboats, accommodation superstructure and navigation equipment.",NA,NA,NA,2014-08-26,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-196,57,Robbers,Tug,NA,"GHANA:On 20 August, three robbers in a canoe boarded an anchored offshore tug near position 04-54N 001-43W, Takoradi Anchorage. Duty crewman on routine rounds noticed the robbers attempting to steal the outboard engine of the vessel's rescue boat. He","informed the duty officer who raised the alarm and mustered the crew. Upon hearing the alarm and seeing the crew response, the robbers fled empty handed. The incident was reported to Port Control and a Marine Police patrol boat came to investigate.",NA,NA,NA,NA,2014-08-20,2014,226,8400,Ghanaian Exclusive Economic Zone,200NM,2100,Ghana,2100,Ghana,GHA,0,NA,0,NA,NA,0,NA,0,NA,NA,-0.847226823817,3.50286659343,227218.059083,8400
2014-190,57,Robbers,Research vessel,NA,"CONGO:On 14 August, three robbers armed with knives boarded an anchored research vessel 5 nm north of Pointe-Noire. The vessel's crew raised the alarm and mustered. Upon seeing the crew response, the robbers fled empty handed.",NA,NA,NA,NA,NA,2014-08-14,2014,38,8394,Congolese Exclusive Economic Zone,200NM,8633,Republic of the Congo,8633,Republic of the Congo,COG,0,NA,0,NA,NA,0,NA,0,NA,NA,10.5957743479,-5.33647579774,33806.6828524,8394
2014-185,57,Pirates,Underway vessel,NA,"GULF OF GUINEA:On 9 August, up to three small boats approached, and fired upon the underway vessel transiting 200 nautical miles south of the Nigerian shoreline. The ship's crew reported hearing multiple gun shots, including automatic gunfire coming from",the attacking small boats. The crew initiated piracy counter measures and took cover within the ship's interior. No injuries were reported.,NA,NA,NA,NA,2014-08-09,2014,168,8397,Sao Tome and Principe Exclusive Economic Zone,200NM,2238,Sao Tome and Principe,2238,Sao Tome and Principe,STP,0,NA,0,NA,NA,0,NA,0,NA,NA,6.35334522867,0.779096486722,130840.024661,8397
2014-183,57,Robbers,Bulk Carrier,NA,"DEMOCRATIC REPUBLIC OF CONGO:On 4 August, two robbers in a small boat attempted to board an anchored bulk carrier using grappling hooks and ropes near position 05-52S 013-24E, Matadi Inner Anchorage. Duty crew noticed the robbers and raised the alarm.","Seeing the crew response, the robbers aborted the attempted boarding and escaped in their boat.",NA,NA,NA,NA,2014-08-04,2014,39,8478,Angolan Exclusive Economic Zone,200NM,2150,Angola,2150,Angola,AGO,0,NA,0,NA,NA,0,NA,0,NA,NA,11.0353708514,-11.701097795,495861.858053,8478
2014-175,57,Pirates,Product tanker,NA,"GHANA:On 25 July, the 3,232 gross ton Kiribati-flagged product tanker MT HAI SOON 6 was boarded and hijacked by a group of 10 heavily armed pirates about 46 nautical miles south of Anloga, Ghana.",NA,NA,NA,NA,NA,2014-07-25,2014,226,8400,Ghanaian Exclusive Economic Zone,200NM,2100,Ghana,2100,Ghana,GHA,0,NA,0,NA,NA,0,NA,0,NA,NA,-0.847226823817,3.50286659343,227218.059083,8400
2014-176,57,Suspicious boat,General cargo vessel,NA,"TOGO:On 25 July, a boat with eight persons aboard was seen to suspiciously approach an anchored general cargo vessel near position 06-05N 001-16E, Lome Anchorage. Master raised the alarm, alerted crew and authorities and sounded the ship's horn. Seeing","the alert crew the boat moved away. Later, a naval boat arrived for investigation.",NA,NA,NA,NA,2014-07-25,2014,147,8392,Togolese Exclusive Economic Zone,200NM,8632,Togo,8632,Togo,TGO,0,NA,0,NA,NA,0,NA,0,NA,NA,1.82134961928,4.6394919934,15439.2618032,8392
2014-172,57,Pirates,Oil Rig and Gunboat,NA,"NIGERIA:On 23 July, armed criminals attacked an oil rig in Gbarain, in Southern Ijaw Local Government Area of the state. The gunmen approached the facility and opened fire on the policemen, who had taken strategic positions and repelled the attempt,",killing five of the attackers. Two policemen were said to have sustained minor injuries. A spokesman stated that the pirates had attacked the rig at Gbarain with the intention of severing the chain used to secure the gunboat in order to remove the,weapons in it.,NA,NA,NA,2014-07-23,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-152,57,Robbers,General Cargo Ship,NA,"IVORY COAST:On 30 June, two robbers, armed with long knives, in a speedboat boarded an anchored general cargo ship near position 05-13N 004-04W, Abidjan Anchorage. The duty crewman on routine rounds spotted the robbers at stern of the ship and informed","the duty officer who raised the alarm. Upon hearing the alarm, the robbers escaped with stolen ship's stores in their boat. All crew mustered and a search was carried out throughout the ship. Port Control and ships in the vicinity were informed via VHF",radio.,NA,NA,NA,2014-06-30,2014,119,8473,Ivory Coast Exclusive Economic Zone,200NM,2161,Ivory Coast,2161,Ivory Coast,CIV,0,NA,0,NA,NA,0,NA,0,NA,NA,-5.4494860846,3.30806149919,172015.188351,8473
2014-138,57,Robbers,Container ship,NA,"TOGO:On 10 June, seven robbers in a small boat attempted to board an anchored container ship using a long stick with a hook near position 06-0N 001-18E, Lome Anchorage. An alert duty crewman saw the activity and raised the alarm; duty officer notified","Togo Navy and mustered the crew. Seeing the crew response, the robbers aborted the attempted boarding and moved away.",NA,NA,NA,NA,2014-06-10,2014,147,8392,Togolese Exclusive Economic Zone,200NM,8632,Togo,8632,Togo,TGO,0,NA,0,NA,NA,0,NA,0,NA,NA,1.82134961928,4.6394919934,15439.2618032,8392
2014-139,57,Pirates,Fishing vessel,NA,"GHANA:On 5 June, pirates hijacked fishing vessel MARINE 711 in the coastal area of the border between Ghana and Togo. The pirates took the 41 crewmembers hostage and cut power to the communications equipment. They then forced the captain to sail the","vessel toward Nigeria in an attempt to hijack other vessels. However, fearing that the Nigerian Navy was in pursuit, the pirates disembarked and escaped within 24 hours.",NA,NA,NA,NA,2014-06-05,2014,226,8400,Ghanaian Exclusive Economic Zone,200NM,2100,Ghana,2100,Ghana,GHA,0,NA,0,NA,NA,0,NA,0,NA,NA,-0.847226823817,3.50286659343,227218.059083,8400
2014-140,57,Pirates,Oil product tanker,NA,"GHANA:On approximately 4 June, pirates hijacked the Liberia-flagged oil product tanker FAIR ARTEMIS and its 24 crewmembers off Ghana. Pirates stole the vessels cargo of gas oil and other items before releasing the vessel. The owner reported that the crew",was safe.,NA,NA,NA,NA,2014-06-04,2014,226,8400,Ghanaian Exclusive Economic Zone,200NM,2100,Ghana,2100,Ghana,GHA,0,NA,0,NA,NA,0,NA,0,NA,NA,-0.847226823817,3.50286659343,227218.059083,8400
2014-122,57,Robbers,Chemical Tanker,NA,"TOGO:On 21 May, a boat with eight robbers armed with long knives attempted to board an anchored chemical tanker near position 06-03N 001-14E, approximately 4 nm south of Lome Port. When the deck watch saw the boat with the suspected robbers, they raised","the alarm. Upon seeing the crew response, the robbers moved away from the vessel.",NA,NA,NA,NA,2014-05-21,2014,147,8392,Togolese Exclusive Economic Zone,200NM,8632,Togo,8632,Togo,TGO,0,NA,0,NA,NA,0,NA,0,NA,NA,1.82134961928,4.6394919934,15439.2618032,8392
2014-102,57,Pirates,Product Tanker,NA,"NIGERIA:On 29 April, pirates approached the product tanker SP BRUSSELS while underway near position 04-56N 004-49E, 35 nm west off coast of Bayelsa State. The armed guards on board fired at the pirates who had boarded. Then most crewmembers and the armed","guards secured themselves in the citadel. Later the armed guards made a sweep of the vessel to check for presence of pirates. The armed guards found one crewmember dead, another injured, and two dead pirates.",NA,NA,NA,NA,2014-04-29,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-92,57,Suspicious Approach,LNG tanker,NA,"NIGERIA:On 21 April, an unlit small boat made a sudden course change, increased speed, and made a close pass by an LNG tanker near position 03-41N 006-18E, approximately 37 nm south of Brass. The master raised the alarm, increased speed, altered course,","activated fire hoses, and had crew direct search lights toward the small boat. After 10 minutes the small boat departed the area. MRCC Lagos, Nigeria informed.",NA,NA,NA,NA,2014-04-21,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-74,57,Pirates,Crude oil tanker,NA,"NIGERIA:On 20 March at approximately 0130 local time, four pirates in a speedboat attacked the Liberian-flagged crude oil tanker CRETE near position 04-14N 005-00E, approximately 40 nm offshore of Bayelsa State, Nigeria. The oil tanker issued a distress","call, increased speed, and conducted evasive maneuvers. Reports state that the pirates aborted the attack after approximately two hours, and the tanker confirmed at 0345 local time that the attackers had failed to board the vessel. All crew are safe.",NA,NA,NA,NA,2014-03-20,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-109,57,Robbers,General Cargo Ship,NA,"CONGO:On 6 March, position 4-44.4S 11-44.9E, Pointe Noire Anchorage. Two armed robbers boarded an anchored general cargo ship using a rope. They stole ships properties and escaped when the duty crew spotted them.",NA,NA,NA,NA,NA,2014-03-06,2014,38,8394,Congolese Exclusive Economic Zone,200NM,8633,Republic of the Congo,8633,Republic of the Congo,COG,0,NA,0,NA,NA,0,NA,0,NA,NA,10.5957743479,-5.33647579774,33806.6828524,8394
2014-65,57,Pirates,Supply vessel,NA,"NIGERIA:On 6 March, pirates boarded the Nigerian-flagged supply vessel PRIME LADY while in transit from Onne to the Utpotiki oil field near position 04-11N 005-44E, approximately 15 nm offshore. The Captain and one other crew member were reportedly",kidnapped.,NA,NA,NA,NA,2014-03-06,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-66,57,Pirates,Offshore tug,NA,"NIGERIA:On 5 March, pirates boarded the underway Nigerian-flagged offshore tug ASHA DEEP southwest of Brass. Three crewmembers were reportedly taken hostage. On 7 March, Nigerian Naval forces rescued three Indian nationals kidnapped from this ship.",NA,NA,NA,NA,NA,2014-03-05,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-57,57,Pirates,Offshore supply vessel,NA,"NIGERIA:On 4 March at approximately 0130 local time, pirates boarded the Nigerian- flagged offshore supply vessel PRINCE JOSEPH 1 and kidnapping three crewmembers near position 04-17N 007-53E, Bight of Bonny, off Akwa Ibom State. After the pirates","departed the vessel, the remaining crewmembers sailed to the port of Onne.",NA,NA,NA,NA,2014-03-04,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-56,57,Pirates,Underway bulk carrier,NA,"NIGERIA:On 4 March, armed pirates attempted to board an underway bulk carrier near position 04-00N 005-16E, approximately 60 nm west-southwest of Brass. The pirates in two skiffs chased and fired upon the vessel during the attempted boarding. The vessel","raised the alarm and non-essential crew mustered in the citadel. Master increased speed, took evasive maneuvers and sent SSAS alert. Due to the hardening measures taken by the Ship's Master the pirates aborted the attempted attack and moved away. The",vessel sustained damage due to bullets striking the accommodation area.,NA,NA,NA,2014-03-04,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-51,57,ROBBERS,SUPPLY SHIP,NA,"REPUBLIC OF THE CONGO:On 20 February at 0050Z in the Pointe Noire Anchorage, 04-54S 11-49E. Robbers boarded an anchored supply ship using a piece of rope. They stole ship's properties and escaped when the duty crew spotted them.",NA,NA,NA,NA,NA,2014-02-20,2014,38,8394,Congolese Exclusive Economic Zone,200NM,8633,Republic of the Congo,8633,Republic of the Congo,COG,0,NA,0,NA,NA,0,NA,0,NA,NA,10.5957743479,-5.33647579774,33806.6828524,8394
2014-45,57,Pirates,Tanker,NA,"NIGERIA:On 19 February, six pirates in a small boat attempted to board an underway tanker near position 03-57N 005-18E, 26 nm southwest of Pennington Oil Terminal. The pirates approached the tanker and tried to hook onto a boarding ladder. Upon detecting","the pirates, the crew raised the alarm and immediately started taking evasive maneuvers. The pirates tried to hook on the ladder several times at different positions along the port and starboard quarters. The pirates departed the area after the armed",embarked security team fired warning shots.,NA,NA,NA,2014-02-19,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-77,57,Pirates,Chemical tanker,NA,"NIGERIA:On 6 February at 10:55 local time, position 04-01N 005-01E, around 60 nm east of Brass, Nigeria eight armed pirates in a speedboat chased a chemical tanker underway. The vessel raised alarm, made evasive maneuvers, sent a distress message and","activated the SSAS alert. The pirates maneuvered alongside the vessel, and boarded using a long ladder. The crew cut off power and retreated into the citadel. Around five hours later the crew emerged and noticed the pirates had used sledgehammers to","break into stores and cabins. The ship's communications was destroyed. The crew managed to start the emergency generators and other necessary machinery, informed the owners and sailed the vessel to Lagos.",NA,NA,NA,2014-02-06,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-37,57,Pirates,Offshore supply vessel,NA,"NIGERIA:On 6 February, pirates attacked and boarded the Barbados-flagged offshore supply vessel PSV MARINER SEA off the Bayelsa State coast. Pirates directed the vessel to a particular spot on the coast, near 03-49N 005-43E and then departed the ship,",taking with them the ship's Captain and Chief Engineer.,NA,NA,NA,NA,2014-02-06,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-38,57,Pirates,Tanker,NA,"NIGERIA:On 6 February, pirates attacked the Panamanian flagged tanker CHER approximately 75 nm west-southwest of Brass approximately 1000 local time.",NA,NA,NA,NA,NA,2014-02-06,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-39,57,Pirates,Tanker,NA,"NIGERIA:On 5 February, a drifting tanker experienced a suspicious approach near position 03-46N 006-24E: approximately 30 nm southeast of Brass Terminal. Watchmen on the ship sighted a skiff with six persons armed with rifles approaching the vessel and",looking for a way to board the vessel using a rope and hook. Alarm raised and SSAS alert activated. Seeing crew alertness the pirates aborted the attempt and moved away.,NA,NA,NA,NA,2014-02-05,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-33,57,Pirates,Tug,NA,"NIGERIA:On 30 January, at approximately 0430 local time, three pirates attacked and boarded the tug LAMNALCO HAWK near position 04-15N 005-35E, in vicinity of Pennington Terminal, Bayelsa State. Crew locked themselves in the citadel. Pirates departed the",vessel soon after boarding.,NA,NA,NA,NA,2014-01-30,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-34,57,Pirates,Offshore supply vessel,NA,"NIGERIA:On 29 January at approximately 2215 local time, pirates attacked and boarded the offshore supply vessel CEE JAY near position 04-20N 005-17E, near off Bayelsa State coast. Pirates kidnapped the ships Master and Chief Engineer and robbed the crew.",NA,NA,NA,NA,NA,2014-01-29,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-28,57,Pirates,Tugboat,NA,"NIGERIA:On 26 January, pirates attacked a tugboat near the Brass River crude oil export terminal in the Niger Delta, kidnapping the ship's captain and an engineer. Sources said that the tugboat was coming from Port Harcourt in Rivers State and transiting","to Brass to load petroleum at the terminal. A spokesman for Italian oil company ENI, which operates the terminal said that the boat belonged to a contractor and that no ENI workers were involved.",NA,NA,NA,NA,2014-01-26,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-29,57,Gunmen,Patrol boat,NA,"NIGERIA:On 25 January, gunmen attacked a Joint Task Force patrol boat near the Nembe-Bassanbiri Community in Nembe, Bayelsa. The attack left a soldier badly injured.",NA,NA,NA,NA,NA,2014-01-25,2014,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2014-23,57,Pirates,Petroleum tanker,NA,"ANGOLA:On approximately 18 January, pirates possibly hijacked the Liberian-flagged petroleum tanker KERALA seven nautical miles from Luanda, Angola. The tanker was fully laden with gas oil. The owners of the vessel lost contact with the ship on 18",January.,NA,NA,NA,NA,2014-01-18,2014,39,8478,Angolan Exclusive Economic Zone,200NM,2150,Angola,2150,Angola,AGO,0,NA,0,NA,NA,0,NA,0,NA,NA,11.0353708514,-11.701097795,495861.858053,8478
2014-12,57,Pirates,General cargo vessel,NA,"EQUITORIAL GUINEA:On 3 January, pirates boarded the general cargo vessel SAN MIGUEL near Bata, Equatorial Guinea and kidnapped three crew members. The ship was reportedly boarded approximately 20 miles northwest of Bata.",NA,NA,NA,NA,NA,2014-01-03,2014,215,8398,Equatorial Guinean Exclusive Economic Zone,200NM,2112,Equatorial Guinea,2112,Equatorial Guinea,GNQ,0,NA,0,NA,NA,0,NA,0,NA,NA,5.43745069906,-1.37183355987,304131.929643,8398
2014-13,57,Pirates,Gas carrier,NA,"GABON:On 2 January, five pirates boarded a drifting gas carrier near position 00-59N 008-23E approximately 55 nm west of Corisco Island. When crewmembers notice them, the alarm was raised and the pirates fled. The master reported that there were a few",tugboats and unlit fishing vessels without AIS in the vicinity.,NA,NA,NA,NA,2014-01-02,2014,215,8398,Equatorial Guinean Exclusive Economic Zone,200NM,2112,Equatorial Guinea,2112,Equatorial Guinea,GNQ,0,NA,0,NA,NA,0,NA,0,NA,NA,5.43745069906,-1.37183355987,304131.929643,8398
2014-6,57,Robbers,General cargo vessel,NA,"GHANA:On 31 December, three robbers boarded an anchored general cargo vessel at position 04-53N 001-41W, Takoradi Roads. When spotted by the security watch, the robbers fled without stealing anything.",NA,NA,NA,NA,NA,2013-12-31,2013,226,8400,Ghanaian Exclusive Economic Zone,200NM,2100,Ghana,2100,Ghana,GHA,0,NA,0,NA,NA,0,NA,0,NA,NA,-0.847226823817,3.50286659343,227218.059083,8400
2013-355,57,PIRATES,PRODUCTS TANKER MT. ALTHEA,NA,"NIGERIA:On 16 December, ten pirates attacked the Marshall Islands-flagged oil products tanker MT ALTHEA and its 18 crewmembers approximately 35 nm off the Niger Delta. After boarding the vessel, the pirates kidnapped the Ukrainian captain and a Greek","engineer.Update:On 4-5 January, the Ukrainian captain and Greek engineer who were kidnapped by Nigerian pirates from the Marshall Islands flagged oil tanker ALTHEA on 16 December were released. According to authorities, the captain and engineer were in",good health and planning to fly out of Nigeria to join their families.,NA,NA,NA,2013-12-16,2013,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2013-356,57,PIRATES,CARGO VESSEL,NA,"CAMEROON:On 3 December, pirates boarded a coastal cargo vessel near position 04-20N 08-45E, approximately 10 nm off the Cameroon coast. Two speedboats with eight pirates in each boat attacked the vessel and briefly board the vessel before a security team",of Cameroon soldiers engaged the robbers in a firefight which forced the pirates to flee the ship. Several pirates were killed during the firefight.,NA,NA,NA,NA,2013-12-03,2013,167,8475,Cameroonian Exclusive Economic Zone,200NM,2170,Cameroon,2170,Cameroon,CMR,0,NA,0,NA,NA,0,NA,0,NA,NA,9.31100269891,3.46271367413,15140.979128,8475
2013-364,57,ROBBERS,TANKER,NA,"NIGERIA:04-12N 006-56E, Bonny Outer Anchorage.While at anchor, an on duty able bodied seaman on board a tanker informed the bridge that one skiff with six robbers was approaching the vessel. As the skiff approached the alarm was raised, and all crew","entered the citadel. The robbers boarded the vessel as their accomplices fire upon the vessel. The Bonny Signal Station was notified. After awhile when no noise was heard the crew came out of the citadel, inspected the vessel and found the robbers had",left the vessel. The vessel sustained damage due to gunfire from the robbers. Nothing was stolen and no injuries to the crew. Later a navy patrol boat arrived at location.,NA,NA,NA,2013-10-03,2013,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2013-268,57,PIRATES,CHEMICAL TANKER,NA,"NIGERIA:On 4 September, an underway chemical tanker was fired upon at position 04-11N 005-34E, 20 nm south of Pennington Oil Terminal. A speed boat approached the chemical tanker with intent to board. The duty officer raised the alarm, alerted the crew","and made evasive maneuvers to prevent the boarding. The pirates tried to board the vessel using hooks attached to a rope. The on board security team fired warning shots at the boat and the pirates retaliated by returning fire. Facing resistance, the",pirates aborted the attempt and moved away from the scene.,NA,NA,NA,2013-09-04,2013,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2013-256,57,Pirates,Product tanker,NA,"NIGERIA:On 15 August, the Nigeria-flagged product tanker NORTE was boarded in the Gulf of Guinea. On 17 August, the vessel was reportedly chased by vessels from the Nigerian Navy; to include two Navy ships of destroyer-size, 6 gun boats, and patrol plane","from the Nigerian Air Force. The Nigerian forces surrounded the tanker in the Niger Delta region. The pirates attempted to flee the tanker when night fell, but were intercepted. During the ensuing gun battle 12 pirates were killed and 4 were captured. No",details on the fate of the crew were given. The tanker is presently anchored in Lagos.,NA,NA,NA,2013-08-15,2013,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2013-257,57,Robbers,Tanker,NA,"NIGERIA:On 15 August, the anchored Marshal Islands-flagged tanker BLUEGREEN TIGRE experienced an attempted boarding in the vicinity of 06-21N 003-28E, at the Lagos Anchorage. Approximately 8-10 robbers, in a speed boat, attempted to place a hook on the","tanker's railing. They were spotted by the crew and the alarm was raised. Upon hearing the alarm and seeing crew alertness, the pirate's boat moved away. Other ships were informed on VHF radio. Local authorities were informed and a naval patrol arrived",at the location and conducted a search.,NA,NA,NA,2013-08-15,2013,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2013-258,57,Gunboats,Offshore support vessel,NA,"NIGERIA:On 12 August, a Nigeria-flagged offshore support vessel was fired upon approximately 35nm off the Nigerian coast. Two gunboats with approximately 7 - 8 pirates on board fired upon the vessel. A near-by patrol boat responded to the emergency","calls. The patrol boat exchanged fire with the pirates, resulting in the pirate boats retreating north at high speed.",NA,NA,NA,NA,2013-08-12,2013,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2013-259,57,Pirates,Chemical tanker,NA,"NIGERIA:On 12 August, the anchored Marshall Islands-flagged chemical tanker SP ATLANTA was hijacked at 06-19N 003-27E, at the Lagos Anchorage. Approximately 11 pirates, armed with guns, boarded and hijacked the chemical tanker at anchor. They stole crew","personal belongings and caused minor injuries to the crew members. On the 13 August, the vessel was released and safely arrived at the Lagos Anchorage.",NA,NA,NA,NA,2013-08-12,2013,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
