mmsi,from_port,to_port,departure_date,arrival_date,distance_km,hours,ais_pings
538005657,"TEMA,GHA","ABIDJAN,CIV",2017-12-01,2017-12-02,575.6515503485667,18.36555555555554,550
210409000,"JAKARTA,IDN","MANILA,PHL",2015-01-15,2015-03-08,1140.821209911203,188.6183333333334,115
477441500,"LUANDA,AGO","TEMA,GHA",2017-06-04,2017-06-08,2170.221247231065,84.07777777777777,528
441963000,"MANILA,PHL","JAKARTA,IDN",2012-12-04,2012-12-14,3009.139120476715,152.1038888888889,138
351738000,"TEMA,GHA","ABIDJAN,CIV",2012-02-01,2012-02-01,430.7070715786425,16.408333333333335,52
308921000,"TEMA,GHA","ABIDJAN,CIV",2012-03-23,2012-03-24,441.67661218544026,19.873472222222222,12
271040635,"TEMA,GHA","ABIDJAN,CIV",2017-01-16,2017-01-17,573.7396113321264,19.472499999999997,144
247228000,"TEMA,GHA","ABIDJAN,CIV",2014-03-11,2014-03-12,483.8692720241436,17.437916666666666,24
248931000,"TEMA,GHA","ABIDJAN,CIV",2014-03-17,2014-03-19,612.1807797105942,47.386111111111106,103
567264000,"ABIDJAN,CIV","TEMA,GHA",2012-02-19,2012-04-14,1190.8410690729304,395.20208333333306,79
636091178,"TEMA,GHA","ABIDJAN,CIV",2012-02-23,2012-03-09,1130.1196323117094,116.93652777777777,31
356470000,"LUANDA,AGO","TEMA,GHA",2013-09-09,2013-09-15,2942.765217314584,164.33555555555554,188
271040635,"TEMA,GHA","ABIDJAN,CIV",2017-10-14,2017-10-15,529.3641220760909,17.52999999999999,388
566981000,"TEMA,GHA","ABIDJAN,CIV",2014-06-07,2014-06-08,470.68083660393285,18.447777777777777,57
247304600,"TEMA,GHA","ABIDJAN,CIV",2013-08-31,2013-08-31,456.87373534458635,15.31013888888889,36
210327000,"JAKARTA,IDN","MANILA,PHL",2013-04-13,2013-04-20,3169.5257791409094,122.28305555555556,32
566981000,"TEMA,GHA","ABIDJAN,CIV",2014-02-25,2014-02-26,479.10674031432745,16.425277777777772,71
636091525,"JAKARTA,IDN","MANILA,PHL",2016-03-18,2016-03-26,3668.860993172762,177.30708333333337,228
372097000,"TEMA,GHA","ABIDJAN,CIV",2017-10-06,2017-10-07,546.7849620605597,19.598472222222224,510
477014400,"TEMA,GHA","ABIDJAN,CIV",2016-09-04,2016-09-05,481.52541219084213,21.868888888888883,136
636091140,"TEMA,GHA","ABIDJAN,CIV",2015-03-30,2015-03-31,538.1684223285498,32.303472222222226,172
311054400,"TEMA,GHA","ABIDJAN,CIV",2013-10-15,2013-10-16,470.068456270153,20.207361111111112,41
636015557,"TEMA,GHA","ABIDJAN,CIV",2013-11-22,2013-11-23,525.0998483194476,19.21402777777778,43
441838000,"JAKARTA,IDN","MANILA,PHL",2016-03-09,2016-03-15,1370.1783780841045,63.60458333333334,65
212572000,"TEMA,GHA","ABIDJAN,CIV",2012-09-04,2012-09-05,490.62605776288996,17.01027777777778,21
370616000,"MANILA,PHL","JAKARTA,IDN",2013-03-23,2013-03-29,3894.082354308898,152.1966666666667,162
357919000,"TEMA,GHA","ABIDJAN,CIV",2012-03-11,2012-03-12,270.93432377812377,12.242777777777778,12
636013068,"TEMA,GHA","ABIDJAN,CIV",2014-04-29,2014-04-30,456.19982947594815,19.275277777777777,54
440090000,"MANILA,PHL","JAKARTA,IDN",2012-03-19,2012-03-25,1469.5218009672694,80.4701388888889,11
565963000,"JAKARTA,IDN","MANILA,PHL",2013-05-04,2013-05-10,1054.2520512188762,66.51861111111113,153
636014136,"TEMA,GHA","LUANDA,AGO",2012-02-29,2012-03-04,2004.9341894631611,91.03791666666667,53
636091402,"ABIDJAN,CIV","TEMA,GHA",2014-12-13,2014-12-14,490.5442623256502,17.679861111111112,89
212557000,"JAKARTA,IDN","MANILA,PHL",2014-07-24,2014-08-05,3602.020847808952,188.14416666666665,102
356167000,"TEMA,GHA","ABIDJAN,CIV",2013-03-17,2013-03-18,473.1340074965164,17.881111111111114,26
636092388,"TEMA,GHA","ABIDJAN,CIV",2012-03-01,2012-03-02,316.34401001576947,31.441805555555558,15
355321000,"JAKARTA,IDN","MANILA,PHL",2013-02-04,2013-02-08,2791.956990361143,79.66944444444445,16
304010897,"TEMA,GHA","ABIDJAN,CIV",2014-09-19,2014-09-20,634.3889629834987,19.506944444444446,21
636010648,"MANILA,PHL","JAKARTA,IDN",2012-05-29,2012-08-07,10909.449985584002,998.9762500000003,618
357848000,"JAKARTA,IDN","MANILA,PHL",2013-07-13,2013-07-19,1418.7996925009563,84.87666666666668,186
566028000,"TEMA,GHA","ABIDJAN,CIV",2014-03-11,2014-03-12,521.9198242135233,13.944583333333332,47
304993000,"TEMA,GHA","ABIDJAN,CIV",2015-06-01,2015-06-02,536.0640883889715,26.377777777777784,70
636015031,"LUANDA,AGO","TEMA,GHA",2017-05-12,2017-05-16,1552.9041657384175,61.225972222222246,350
236581000,"TEMA,GHA","LUANDA,AGO",2012-06-12,2012-06-16,2147.2518157834133,88.90402777777777,78
356683000,"JAKARTA,IDN","MANILA,PHL",2013-08-21,2013-08-29,2263.9260456087127,120.39027777777777,30
574951000,"ABIDJAN,CIV","TEMA,GHA",2013-09-22,2013-09-23,439.8195167474308,19.726111111111113,44
355541000,"MANILA,PHL","JAKARTA,IDN",2013-05-12,2013-05-19,2310.2922241618635,119.6795833333333,164
1193046,"LUANDA,AGO","ABIDJAN,CIV",2016-10-21,2016-10-21,435.18666851363264,35.133611111111136,97
355942000,"LUANDA,AGO","TEMA,GHA",2013-10-14,2013-10-25,2709.181406302651,261.34888888888906,681
566028000,"TEMA,GHA","ABIDJAN,CIV",2013-08-21,2013-08-22,541.2470581758287,19.049722222222222,39
636091347,"JAKARTA,IDN","MANILA,PHL",2014-02-01,2014-02-08,3485.71225654329,152.66416666666672,117
357158000,"TEMA,GHA","ABIDJAN,CIV",2012-06-04,2012-06-05,508.39310146270907,22.76152777777778,15
355321000,"MANILA,PHL","JAKARTA,IDN",2013-11-03,2013-11-09,3475.862588415689,148.69763888888883,107
248574000,"TEMA,GHA","ABIDJAN,CIV",2014-01-23,2014-01-24,493.0701441041463,21.00986111111111,22
351849000,"LUANDA,AGO","TEMA,GHA",2014-09-05,2014-09-10,2169.9220454512833,105.8941666666666,495
636091472,"TEMA,GHA","ABIDJAN,CIV",2012-05-10,2012-05-11,456.08398520600025,21.30513888888889,17
563491000,"TEMA,GHA","ABIDJAN,CIV",2014-03-08,2014-03-09,505.5073163282644,24.813472222222224,85
370120000,"JAKARTA,IDN","MANILA,PHL",2014-12-04,2014-12-14,2522.726987145285,155.3929166666667,216
357993000,"TEMA,GHA","ABIDJAN,CIV",2013-12-08,2013-12-09,485.66031955034794,14.558055555555555,63
372723000,"TEMA,GHA","ABIDJAN,CIV",2012-02-15,2012-02-17,518.2146135905994,55.723749999999974,163
229247000,"TEMA,GHA","ABIDJAN,CIV",2013-06-29,2013-07-02,533.7995921982232,47.93027777777778,9
210424000,"ABIDJAN,CIV","TEMA,GHA",2013-11-30,2013-12-01,538.1620434878756,22.25444444444444,61
248572000,"TEMA,GHA","ABIDJAN,CIV",2013-12-14,2013-12-15,499.4714748240479,19.29,15
355541000,"JAKARTA,IDN","MANILA,PHL",2013-02-26,2013-03-01,2596.822508459808,80.69083333333334,17
357919000,"TEMA,GHA","ABIDJAN,CIV",2012-07-29,2012-07-30,486.22413259502827,15.697500000000002,24
304675000,"JAKARTA,IDN","MANILA,PHL",2012-05-08,2012-05-13,2923.93012771676,88.80416666666666,23
306497000,"ABIDJAN,CIV","TEMA,GHA",2017-05-22,2017-06-17,4863.426210681842,620.8663888888887,2251
232558000,"TEMA,GHA","ABIDJAN,CIV",2015-02-14,2015-03-11,10578.381223390084,608.3368055555568,2281
357919000,"TEMA,GHA","ABIDJAN,CIV",2015-12-05,2015-12-06,499.89585997518907,14.595277777777776,79
210410000,"JAKARTA,IDN","MANILA,PHL",2013-02-22,2013-02-28,2718.062010659541,92.00986111111114,18
636091132,"JAKARTA,IDN","MANILA,PHL",2015-08-28,2015-09-05,3860.6571391889356,186.24763888888887,277
305905000,"JAKARTA,IDN","MANILA,PHL",2013-08-31,2013-09-07,3400.6744454474233,120.32874999999999,65
355541000,"JAKARTA,IDN","MANILA,PHL",2014-02-11,2014-02-15,2742.6016633425197,98.10444444444444,32
304531000,"LUANDA,AGO","ABIDJAN,CIV",2012-05-19,2012-05-24,2593.488409609086,116.39583333333337,155
247207000,"TEMA,GHA","ABIDJAN,CIV",2012-09-07,2012-09-08,527.2586692356672,22.89708333333333,26
538005309,"TEMA,GHA","ABIDJAN,CIV",2014-05-16,2014-05-17,475.55774737078883,16.788749999999997,53
219212000,"JAKARTA,IDN","MANILA,PHL",2014-06-07,2014-06-19,3512.0477898959057,207.35013888888886,66
636092252,"JAKARTA,IDN","MANILA,PHL",2012-06-18,2012-06-24,3286.013922989807,142.44625,48
636091162,"JAKARTA,IDN","MANILA,PHL",2014-06-17,2014-06-22,3432.85627698047,136.71305555555548,105
636014241,"TEMA,GHA","ABIDJAN,CIV",2014-05-20,2014-05-21,475.87584290802266,14.133611111111112,34
