port
"ANAAR B H CD,NLD"
"ANACAPRI,ITA"
"ANACORTES,USA"
"ANADYR,RUS"
"ANAFI,GRC"
"ANAKLIA,GEO"
"ANAN,DNK"
"ANAPA,RUS"
"ANAU,PYF"
"ANCH,COK"
"ANCH,GRC"
"ANCH,PYF"
"ANCHOR KRPUS,KOR"
"ANCHOR SEABUOY CARME,MEX"
"ANCHORAGE,KOR"
"ANCHORAGE,USA"
"ANCONA,ITA"
"AND A D8,SWE"
"AND LANGOYA,AUS"
"AND,CAN"
"AND,GBR"
"AND,KOR"
"AND,NOR"
"AND,SGP"
"ANDAGEN,USA"
"ANDALEN,SWE"
"ANDENES,NOR"
"ANDHA,AUS"
"ANDIJK,NLD"
"ANDO,KOR"
"ANDRES (ANDRES LGN TERMINAL),DOM"
"ANDROS,GRC"
"ANDS VESTKYST,DNK"
"ANE AUSTRALIA,SWE"
"ANG D8,NOR"
"ANG EMS,CAN"
"ANG GANG,SGP"
"ANG IHVBBBBBB,JPN"
"ANG,AUS"
"ANG,CAN"
"ANG,DNK"
"ANG,GBR"
"ANG,GRC"
"ANG,ITA"
"ANG,NOR"
"ANG,SWE"
"ANG,TUR"
"ANG,USA"
"ANGANGGUANHEKOU,TWN"
"ANGC ANGO OIL TERM,COD"
"ANGD,SWE"
"ANGDAO CN,SWE"
"ANGDAO,POL"
"ANGDE2A A P 05,FJI"
"ANGELHOLM,SWE"
"ANGRA DO HEROISMO,PRT"
"ANGRA DOS REIS,BRA"
"ANGTON,NOR"
"ANHAE,FRA"
"ANHAE,ITA"
"ANHOLT,DNK"
"ANJIANG,SWE"
"ANKARAN,SVN"
"ANNA MARIA,USA"
"ANNABA,DZA"
"ANNAPOLIS,USA"
"ANO MERA,GRC"
"ANO,ITA"
"ANON,SWE"
"ANPING,TWN"
"ANPU,NLD"
"ANS,FIN"
"ANSE TEMBLADORA,TTO"
"ANSK,NOR"
"ANSOW FARM,TUR"
"ANSTRUTHER,GBR"
"ANT,DNK"
"ANTALYA OFFSHORE TERMINAL,TUR"
"ANTALYA,TUR"
"ANTAN OIL TERMINAL,NGA"
"ANTIBES,FRA"
"ANTIGUA,ATG"
"ANTIGUA,GLP"
"ANTIKYRA,GRC"
"ANTIPAROS,GRC"
"ANTIPAXOS,GRC"
"ANTIRRIO,GRC"
"ANTISRANANA,MDG"
"ANTOFAGASTA,CHL"
"ANTONINA,BRA"
"ANTW VLI HARBOURS,NLD"
"ANTW,FIN"
"ANTWERP TOWAGE TUG,BEL"
"ANTWERP TOWAGE TUG,NLD"
"ANTWERP,BEL"
"ANTWERP,NLD"
"ANTWERP,TUR"
"ANTWERP,VGB"
"ANTWERPEN,BEL"
"ANTWERPEN,DNK"
"ANTWERPEN,ESP"
"ANTWERPEN,HRV"
"ANTWERPEN,ITA"
"ANTWERPEN,NLD"
"ANWERK,SWE"
"ANYER LOR,IDN"
"ANYER,IDN"
"ANZIO,ITA"
"AO OFF,NOR"
"AO PO,THA"
"AO UDOM,THA"
"AO XX,FRA"
"AO,CAN"
"AO,NLD"
"AO,NOR"
"AOHSIUNG,ARE"
"AOKA OFF,JPN"
"AOLCANDO,USA"
"AOMORI KO,JPN"
"AOMORI,JPN"
"AONPO S KOREA,ISL"
"AOORING,NLD"
"AOORING,USA"
"AORE,SWE"
"AP CBP,TUR"
"AP OFF,NOR"
"AP,KOR"
"APAN,AGO"
"APAPA,NGA"
"APIA,WSM"
"APLAYA,PHL"
"APOIO,BRA"
"APOLLO BAY,AUS"
"APOLLO BEACH,USA"
"APORE,USA"
"APPINGEDAM,NLD"
"APPLEDORE,GBR"
"APRA GUAM,MNP++"
"APRA HARBOR,GUM"
"APRIL POINT,CAN"
"AQABA,ARE"
"AQABA,JOR"
"AR BHI,ARG"
"AR ELBE,NZL"
"AR N3 OFF,GBR"
"AR RUWAYS,ARE"
"AR RUWAYS,QAT"
"AR SLO,URY"
"AR,ESP"
"AR,FIN"
"AR,USA"
"ARABI,USA"
"ARABIYA,SAU"
"ARABIYAH FIELD,SAU"
"ARANSAS PASS,USA"
"ARAS,ESP"
"ARATION,USA"
"ARATU BRAZIL,BRA"
"ARATU,BRA"
"ARBATAX,ITA"
"ARBOR OPS,USA"
"ARBOR,VEN"
"ARBROATH,GBR"
"ARCACHON,FRA"
"ARCHIPELAGO,FIN"
"ARDALE,SWE"
"ARDGLASS,GBR"
"ARDJUNA OIL FIELD,IDN"
"ARDRISHAIG,GBR"
"ARDROSSAN,AUS"
"ARDROSSAN,GBR"
"ARE USA,ATG"
"AREA DE PLAT,MEX"
"AREA DE PLATA FORMA,MEX"
"AREA DE PLATAFO,MEX"
"AREA DE PLATAFORMAS,MEX"
"AREA OSKARSHAMN,SWE"
"AREA PLATAFORMAS,MEX"
"ARENDAL,NOR"
"ARENYS DE MAR,ESP"
"ARES,ESP"
"ARG,JPN"
"ARGELERS,FRA"
"ARGENTIA,CAN"
"ARGINEGUIN,ESP"
"ARGLADS FL,ESP"
"ARGOSTOLION,GRC"
"ARHAVI,TUR"
"ARHUS,DNK"
"ARICA,CHL"
"ARIDA,JPN"
"ARIELLA,ARE"
"ARIKOY,TUR"
"ARINAGA,ESP"
"ARISH,EGY"
"ARKHANGEL'SK,RUS"
"ARKHANGELS'K,RUS"
"ARKHANGELSK,RUS"
"ARKINHEAD,GRC"
"ARKLOW,IRL"
"ARKO,SWE"
"ARKOSUND,SWE"
"ARMINED,IRL"
"ARMUTLU,TUR"
"ARNE,KOR"
"ARNEMUIDEN,NLD"
"ARNVIKA,NOR"
"ARO,AUS"
"AROYSUND,NOR"
"ARP,SGP"
"ARRADON,FRA"
"ARRECIFE,ESP"
"ARRY,AUS"
"ARSBURG,ESP"
"ARSLO,URY"
"ARSOOG,USA"
"ARUBA,ABW"
"ARUG,NOR"
"ARZANAH,ARE"
"ARZEW EL DJEDID,DZA"
"ARZEW,DZA"
"ARZON,FRA"
"AS SUWAYS,EGY"
"AS,GEO"
"AS,KOR"
"AS,SWE"
"AS,VGB"
"ASALUYEH IRAN,IRN"
"ASCA,SWE"
"ASCOT,AUS"
"ASENG TERMINAL,GNQ"
"ASGARDSTRAND,NOR"
"ASHBURTON,AUS"
"ASHDOD,ISR"
"ASHID,AUS"
"ASHIYA,JPN"
"ASHQELON,ISR"
"ASI,SGP"
"ASINARA,ITA"
"ASK,ESP"
"ASK,FJI"
"ASK,SWE"
"ASK,USA"
"ASKJE,NOR"
"ASKOE,GBR"
"ASKOY,NOR"
"ASPROPIRGOS,GRC"
"ASS,FIN"
"ASSAB,ERI"
"ASSENS BAAGOE ASSENS,DNK"
"ASSENS,DNK"
"ASSIST NAV,IDN"
"ASTAKOS,GRC"
"ASTORIA,USA"
"ASUNCION,ARG"
"ASX,ESP"
"ASX,FRA"
"ASX,NCL"
"ATAFORMA,URY"
"ATAMI,ESP"
"ATERSBURG,FIN"
"ATERSBURG,SWE"
"ATFORM,TUR"
"ATH AFRICA,GRC"
"ATH,AUS"
"ATH,SWE"
"ATHENS,GRC"
"ATLANTIC BEACH,USA"
"ATLANTIC CITY NJ,USA"
"ATLANTIC CITY,USA"
"ATO,JPN"
"ATOKOS,GRC"
"ATPH,SGP"
"ATRANI,ITA"
"ATSUMI,JPN"
"ATT USA,FIN"
"ATUONA,PYF"
"ATUYAMA,NLD"
"ATUYAMA,NOR"
"ATZ,JPN"
"ATZ,SWE"
"ATZHAFEN DE,USA"
"AU ABP,AUS"
"AU ADL,AUS"
"AU ALH,AUS"
"AU BBG,AUS"
"AU BNE,AUS"
"AU BUY,AUS"
"AU DAM,AUS"
"AU GLT,AUS"
"AU GOV,AUS"
"AU HPT,AUS"
"AU NTL,AUS"
"AU ONS,AUS"
"AU PHE,AUS"
"AU PKL,AUS"
"AU PTJ,AUS"
"AU PWL,AUS"
"AU TSV,AUS"
"AU VAR,AUS"
"AU WEI,AUS"
"AU WEP,AUS"
"AU WYA,AUS"
"AUCKLAND,FJI"
"AUCKLAND,NZL"
"AUDIERNE,FRA"
"AUGHINISH IRELAND,IRL"
"AUGHINISH,IRL"
"AUGUSTA FOR ORDERS,TUR"
"AUGUSTA,ITA"
"AUGUSTA,TUR"
"AUH OFFSHORE,ARE"
"AUH,ARE"
"AUKE BAY,USA"
"AUKRA,NOR"
"AUN GANG,BRA"
"AUNDE LIEPAJA,VIR"
"AUNG TAIWAN,NOR"
"AUNG TW,ARE"
"AUNG,FRA"
"AURAY,FRA"
"AURISINA CAVE,ITA"
"AUSTEVOLL,NOR"
"AUSTRALIA SPENCER GU,AUS"
"AUSTRHEIM,NOR"
"AVALON,USA"
"AVANNAH GA,TUR"
"AVANUORRI,NOR"
"AVATIU,COK"
"AVEDOERE,DNK"
"AVEDORE,DNK"
"AVEIRO,PRT"
"AVELLANEDA,ARG"
"AVEN,AUS"
"AVEN,CAN"
"AVEN,FRA"
"AVEN,TTO"
"AVERNAKOE,DNK"
"AVILES,ESP"
"AVONMOUTH,GBR"
"AVR OFF,ARE"
"AVTOVO,RUS"
"AWAGLI,PNG"
"AWAITING ORDERS,ARE"
"AWAITING ORDERS,USA"
"AWAITING,IND"
"AWALIDAMAN,MYS"
"AWISCHHAFEN,KOR"
"AXAS,AUS"
"AXEL,NLD"
"AXIN,NLD"
"AYATSIL A,MEX"
"AYATSIL D,MEX"
"AYIA NAPA,CYP"
"AYIOS NIKOLAOS,GRC"
"AYR,GBR"
"AYSIA,MYS"
"AYSIA,USA"
"AYUQUAN,NOR"
"AYVALIK,TUR"
"AZ OFF,CAN"
"AZ ZA'AYIN,QAT"
"AZ ZAWIYA,LBY"
"AZEN,AUS"
"AZORES,PRT"
"AZOV,RUS"
"AZOV,TUR"
"B 2 A AFEN,PYF"
"B 2 A B,PYF"
"B 2 A B,TON"
"B 2 A BCA AR,PAN"
"B 2 A BK,TON"
"B 2 A CCA,PYF"
"B 2 A CNNA LOKTA,FJI"
"B 2 A CNNA LOKTA,PYF"
"B 2 A O AMBACHT,FJI"
"B 47882224,ISL"
"B ABBAS,IRN"
"B AT KGF,TUR"
"B B LOCKS,USA"
"B BASTOY,AUS"
"B CHINA,BRA"
"B DNESTROVSKIY,UKR"
"B DNESTROVSKY,UKR"
"B E,ESP"
"B FIED,KOR"
"B FR FOS,FRA"
"B FRASER R,FRA"
"B HOLLAND,JPN"
"B I K IRAN,IRN"
"B I K,IRN"
"B MI39,NOR"
"B OFF,ESP"
"B ORDERS,NLD"
"B P,CRI"
"B P2,GBR"
"B Q,VEN"
"B QATAR,KOR"
"B RIVER,SWE"
"B S,NOR"
"B W,NLD"
"B WA,TUR"
"B WM,SWE"
"B WOLFRAT,USA"
"B YAN TAI,NOR"
"B ZEE,SGP"
"B1U,NOR"
"BA EREGLISI,PRT"
"BA,SWE"
"BA,USA"
"BAAMBRUGGE,NLD"
"BABAK,PHL"
"BACHAQUERO,VEN"
"BACHHO TERMINAL,VNM"
"BACIA DE CAMPOS P38,BRA"
"BACIA DE CAMPOS P47,BRA"
"BACIA DE CAMPOS,BRA"
"BACIA DE SANTOS,BRA"
"BACOLOD CITY,PHL"
"BADALONA,ESP"
"BADDECK,CAN"
"BADE,IDN"
"BAEL,FRA"
"BAEL,MAF"
"BAG NNX,NOR"
"BAGE 5A,DNK"
"BAGE,TUR"
"BAGENKOP,DNK"
"BAHAI DE LA HABANA,CUB"
"BAHAMAS,BHS"
"BAHIA BLANCA,ARG"
"BAHIA DE FAJARDO,PRI"
"BAHIA DE LAS MINAS,PAN"
"BAHIA DE MATARANI,PER"
"BAHIA DE PERTIGALETE,VEN"
"BAHIA DE VALDIVIA,CHL"
"BAHIA DE VALPARAISO,CHL"
"BAHIA HERRADURA GUAYACAN,CHL"
"BAHIA QUINTERO (VENTANAS),CHL"
"BAHIA SAN NICOLAS,PER"
"BAHIA SAN VICENTE,CHL"
"BAHRAIN DIYAAR,BHR"
"BAHRAIN PORT,SAU"
"BAHRAIN,ARE"
"BAHRAIN,BHR"
"BAHRAIN,IRN"
"BAHRAIN,SAU"
"BAHUDOPI INDONESIA,IDN"
"BAHUDOPI,IDN"
"BAI CHAY,VNM"
"BAIE COMEAU,CAN"
"BAIE DE KOUAOUA,NCL"
"BAIE DU MARIGOT,FRA"
"BAIE TAIOHAE,PYF"
"BAIE UGUE,NCL"
"BAINE,ITA"
"BAIONA,ESP"
"BAJO GRANDE,VEN"
"BAKAR,HRV"
"BAKERS BAY,BHS"
"BALAKLAVA,UKR"
"BALAM TA,MEX"
"BALAM TE,MEX"
"BALARD OIL,USA"
"BALBOA PANAMA,KOR"
"BALBOA PANAMA,PAN"
"BALBOA,PAN"
"BALCHIK,BGR"
"BALHAF,YEM"
"BALIKPAPAN,IDN"
"BALLANGEN,NOR"
"BALLSTAD,NOR"
"BALLYCASTLE,GBR"
"BALMORAL,AUS"
"BALONGAN,IDN"
"BALTAMORE MD,USA"
"BALTASOUND,GBR"
"BALTIMORE MD,USA"
"BALTIMORE USA,USA"
"BALTIMORE,IRL"
"BALTIMORE,USA"
"BALTIYSK,RUS"
"BALTRA,ECU"
"BALTRUM,DEU"
"BALUD,PHL"
"BAMBERTON,CAN"
"BAMBOO FLAT,IND"
"BAMG,CAN"
"BAN CHALONG,THA"
"BAN KARON,THA"
"BAN KO KAEO,THA"
"BAN PHRU NAI,THA"
"BAN TALAT YAI,THA"
"BAN,BHS"
"BANA,FRA"
"BANANA,AGO"
"BANANA,COD"
"BANCE,SWE"
"BANCISCO PIER 9,GBR"
"BANDAR ABBAS,IRN"
"BANDAR KHOMEYNI,IRN"
"BANDAR LABUAN,MYS"
"BANDAR MISHAB ANCH,SAU"
"BANDAR MISHAB,SAU"
"BANDAR TAHERI OFFSHORE TERMINAL,IRN"
"BANDAR-E GANAVEH,IRN"
"BANDAR-E LENGEH,IRN"
"BANDAR-E MAHSHAHR,IRN"
"BANDAR-E PARS TERMINAL,IRN"
"BANDAR-E SHAHID REAJIE,IRN"
"BANDHOLM,DNK"
"BANDIRMA,TUR"
"BANDOL,FRA"
"BANDRABOUA,MYT"
"BANG SAPHAN,THA"
"BANGERT,NLD"
"BANGHAZI,LBY"
"BANGKOK,THA"
"BANGOR TRIDENT BASE,USA"
"BANGOR,GBR"
"BANGPAKONG,THA"
"BANGSAL ACEH,IDN"
"BANGSRING,IDN"
"BANJAR KAWAN,IDN"
"BANJAR MEDURA,IDN"
"BANJARMASIN,IDN"
"BANJUL,GMB"
"BANTEN,IDN"
"BANTRY BAY,IRL"
"BANYUWANGI,IDN"
"BANZART,TUN"
"BAR HARBOR,USA"
"BAR,MNE"
"BARAKALDO,ESP"
"BARBATE,ESP"
"BARBER'S POINT,USA"
"BARBERS POINT TERMINAL,USA"
"BARCALDINE,GBR"
"BARCARENA,BRA"
"BARCELONA,ESP"
"BARENTS SEA,SJM"
"BARENTSBURG,SJM"
"BARHOFT,DEU"
"BARI,ITA"
"BARKAN OIL-LOADING TERMINAL,IRN"
"BARNEGAT,USA"
"BARNEVILLE-PLAGE,FRA"
"BARONIA,MYS"
"BARR0W IS,AUS"
"BARRA DOS COQUEIROS,BRA"
"BARRA,GBR"
"BARRANQUILLA,COL"
"BARREIRO,PRT"
"BARRINGTON,USA"
"BARROUALLIE,VCT"
"BARROW IN FURNESS,GBR"
"BARROW ISL,AUS"
"BARROW ISLAND,AUS"
"BARRY,GBR"
"BARTH,DEU"
"BARTIN,TUR"
"BARVIEW,USA"
"BASAMUK,PNG"
"BASE,JPN"
"BASILIKI FISCARDO,GRC"
"BASRAH IRAQ,IRN"
"BASRAH IRAQ,KWT"
"BASRAH,IRN"
"BASRAH,KWT"
"BASSE TERRE,GLP"
"BASSETERRE,KNA"
"BASTAD,SWE"
"BASTIA,FRA"
"BASTIMENTOS,PAN"
"BASTOY,SWE"
"BATA,GNQ"
"BATAAN PHILIPPINES,PHL"
"BATAAN,PHL"
"BATAM ANCHORAGE,IDN"
"BATAM INDONESIA,IDN"
"BATAM INDONESIA,SGP"
"BATAM,IDN"
"BATAM,SGP"
"BATANGAS CITY,PHL"
"BATANGAS,PHL"
"BATENBURG,NLD"
"BATH,USA"
"BATION,NLD"
"BATON ROUGE,USA"
"BATROUN,LBN"
"BATSFJORDEN,NOR"
"BATU AMPAR INDONESIA,IDN"
"BATU AMPAR,IDN"
"BATU PAHAT,MYS"
"BATU PANJANG,IDN"
"BATUAMPAR,IDN"
"BATUAMPER INDONESIA,IDN"
"BATUAN TENGAH,MYS"
"BATULICIN,IDN"
"BATUMI,GEO"
"BAU BAU,IDN"
