s2id,label,anchor_group,lat,lon
103f8f23,"ESCRAVOS,NGA",290,5.507770868306668,4.958815819946617
103f8e53,"ESCRAVOS,NGA",290,5.4968666554663965,4.928304133087737
103f8e55,"ESCRAVOS,NGA",290,5.495986502553671,4.932006543824884
103f8f3d,"ESCRAVOS DOCK,NGA",290,5.5120520485028885,4.958665449346544
103f8e51,"ESCRAVOS NIGERIA,NGA",290,5.492793726423355,4.928423462790889
103f88c5,"ESCRAVOS OIL TERMINAL,NGA",290,5.512737103546529,4.9901617296005405
104005b5,"FORCADOS OIL TERMINAL,NGA",291,5.1662265583258025,5.166865307126155
1040044d,"FORCADOS OIL TERMINAL,NGA",291,5.161279064317565,5.172702724891819
104005b7,"FORCADOS OIL TERMINAL,NGA",291,5.171756124371557,5.166069951160018
10401521,"CK NO 3,NGA",292,5.350126521263528,5.352639904028921
10405281,"WARRI,NGA",293,5.536246746332467,5.6920086007979505
1040527f,"WARRI,NGA",293,5.534906495641959,5.686507772589972
10404d81,"WARRI,NGA",293,5.534236660791616,5.685419269137085
104051e5,"WARRI,NGA",294,5.542701546955219,5.631800801614661
104051c5,"WARRI,NGA",294,5.5480372391304185,5.617513089348336
104051c3,"WARRI,NGA",294,5.54807155442751,5.62266667254897
104051e7,"WARRI,NGA",294,5.54422738564166,5.628538012858269
104051e9,"WARRI,NGA",294,5.548177132020668,5.6261820802237645
1040646d,"LAGOS,NGA",295,5.608118588656532,5.286441480429693
10406463,"LAGOS,NGA",295,5.608405441041668,5.2715110051915035
10406467,"WARRI,NGA",295,5.604962061504291,5.276766641417195
10407b6d,"WARRI,NGA",295,5.605041754854313,5.197372140440438
10406469,"WARRI,NGA",295,5.605369527173237,5.280770680799147
10406489,"WARRI,NGA",295,5.6093294342962805,5.266583969601338
10406465,"WARRI,NGA",295,5.608077581390418,5.276163001167785
1040646f,"ESCRAVOS,NGA",295,5.608309031457931,5.281382030422087
10407b43,"ESCRAVOS,NGA",295,5.610812137136584,5.207266562196912
104064a9,"ESCRAVOS,NGA",295,5.619352709708598,5.2343606842598
10407b51,"ESCRAVOS,NGA",295,5.616191778538638,5.220354629400436
10407b6f,"ESCRAVOS FUNIWA,NGA",295,5.610080291013521,5.19778385351005
10407613,"LOME,NGA",296,5.469749677189496,5.078120750007747
10407639,"LAGOS,NGA",296,5.4851000449136,5.078360346126053
10407611,"LAGOS,NGA",296,5.469486887529357,5.073132232122579
10407625,"LAGOS,NGA",296,5.484997241958502,5.068082163663307
1040766b,"WARRI,NGA",296,5.474558102000335,5.0831352521446025
10407641,"ESCRAVOS,NGA",296,5.479754889781411,5.08285741145285
10407615,"ESCRAVOS,NGA",296,5.474872688510426,5.077808887340781
1040763f,"ESCRAVOS,NGA",296,5.4799807259233475,5.077902706156734
106112f9,"DOUALA,CMR",298,4.0495351156144865,9.687103196243077
1061131d,"DOUALA,CMR",298,4.041513208927607,9.676700129683313
10611353,"DOUALA,CMR",298,4.013792963133698,9.642856724050604
10616b57,"DOUALA,CMR",298,4.004090093713458,9.631970479602328
1061132d,"DOUALA,CMR",298,4.013164532613489,9.671265598605245
10611303,"DOUALA,CMR",298,4.042471752343778,9.678189533185645
10616cab,"DOUALA,CMR",298,4.009240968851863,9.637882371964933
10616b5b,"DUOALA,CMR",298,3.9995798753843057,9.627253841189171
1061427f,"DOUALA,CMR",299,3.8955718462558813,9.541948491521524
1061434b,"DOUALA,CMR",299,3.8559288312221964,9.475596920129975
10614321,"DOUALA,CMR",299,3.8707051396626992,9.497930865289128
106142e1,"DOUALA,CMR",299,3.874898339406486,9.503500071234159
106142dd,"DOUALA,CMR",299,3.8705430696329075,9.50889014618134
1061433d,"DOUALA,CMR",299,3.8705023877754017,9.48745885687081
10614327,"DOUALA,CMR",299,3.866373190643152,9.496585870180681
10614287,"DOUALA,CMR",299,3.890240781070269,9.536253155126026
10614285,"DOUALA,CMR",299,3.8851074705116058,9.536359880803726
10615b57,"DOUALA,CMR",299,3.8452239409761457,9.453709403238804
106142fb,"DOUALA,CMR",299,3.8846107353610324,9.509246389532915
106142ef,"DOUALA,CMR",299,3.8801350689359118,9.514173778750239
1061427b,"DOUALA,CMR",299,3.8990482523090915,9.537149232075505
10614325,"DOUALA,CMR",299,3.866016694492558,9.492129257986779
106169d1,"DOUALA,CMR",299,3.900398317493694,9.553079436685172
1061434d,"DOUALA,CMR",299,3.8551268671291723,9.469898055551102
106142f5,"DOUALA,CMR",299,3.8893128834983792,9.520411241711276
