year,lon_bin,lat_bin,number_attacks,grid_id
2014,-65,15,3,12
2014,-60,5,1,13
2014,-55,5,1,144
2014,-50,-5,1,14
2014,-15,5,2,19
2014,-5,0,3,110
2014,-5,5,2,21
2014,0,0,1,111
2014,0,5,10,22
2014,5,-5,1,137
2014,5,0,40,23
2014,5,5,1,24
2014,10,-10,3,25
2014,10,-5,7,112
2014,20,30,1,140
2014,30,-20,1,124
2014,35,-10,2,27
2014,35,15,1,145
2014,40,0,2,31
2014,40,10,10,32
2014,40,15,2,33
2014,45,-15,1,90
2014,45,10,2,38
2014,50,10,1,43
2014,50,15,1,93
2014,55,10,1,48
2014,55,20,1,50
2014,60,20,2,96
2014,70,20,3,58
2014,75,5,4,59
2014,80,15,3,63
2014,85,20,1,64
2014,90,20,22,65
2014,95,0,8,66
2014,95,5,2,67
2014,100,-10,3,129
2014,100,0,82,69
2014,100,5,2,130
2014,105,-10,10,70
2014,105,0,3,71
2014,105,10,5,73
2014,105,20,3,74
2014,110,-10,2,105
2014,110,-5,2,106
2014,110,0,2,75
2014,110,15,1,146
2014,115,-5,8,78
2014,115,0,1,79
2014,115,5,5,80
2014,120,-10,1,81
2014,120,5,1,82
2014,120,10,3,83
2014,130,5,1,147
2014,150,-5,1,148
2015,-155,-20,1,149
2015,-150,-20,1,150
2015,-90,15,3,151
2015,-80,0,2,8
2015,-80,5,1,120
2015,-80,10,4,9
2015,-80,25,1,152
2015,-75,10,1,85
2015,-75,15,2,10
2015,-70,10,1,153
2015,-65,10,5,11
2015,-65,15,2,12
2015,-45,-5,1,154
2015,-40,-15,1,15
2015,-40,-5,1,16
2015,-15,5,5,19
2015,-5,0,3,110
2015,-5,5,2,21
2015,0,0,2,111
2015,0,5,11,22
2015,5,0,14,23
2015,5,5,2,24
2015,10,-10,3,25
2015,10,-5,5,112
2015,25,30,1,113
2015,25,35,1,155
2015,35,-5,2,89
2015,45,5,1,37
2015,45,10,2,38
2015,50,5,1,42
2015,55,-5,2,45
2015,65,20,3,117
2015,70,20,6,58
2015,75,10,1,60
2015,80,15,4,63
2015,85,20,6,64
2015,90,20,12,65
2015,90,25,1,156
2015,95,0,12,66
2015,95,5,2,67
2015,100,0,79,69
2015,100,10,1,103
2015,105,-10,5,70
2015,105,-5,1,104
2015,105,0,4,71
2015,105,5,1,72
2015,105,10,14,73
2015,105,20,7,74
2015,110,-5,4,106
2015,110,0,1,75
2015,110,15,3,146
2015,115,-10,2,142
2015,115,-5,1,78
2015,115,5,7,80
2015,115,35,4,119
2015,120,0,1,107
2015,120,10,4,83
2015,125,0,1,157
2015,125,5,2,132
2015,140,-5,1,158
2015,140,0,1,159
2015,150,-15,1,160
2016,-175,0,1,161
2016,-95,15,1,162
2016,-90,15,2,151
2016,-90,20,1,163
2016,-85,-5,1,1
2016,-85,5,1,2
2016,-85,10,2,3
2016,-85,20,1,164
2016,-80,-15,10,5
2016,-80,0,1,8
2016,-80,5,1,120
2016,-80,10,3,9
2016,-75,15,5,10
2016,-70,15,2,121
2016,-65,10,16,11
2016,-65,15,1,12
2016,-60,5,3,13
2016,-15,5,3,19
2016,-15,25,1,165
2016,-10,0,1,166
2016,-10,30,1,136
2016,-5,0,4,110
2016,-5,5,1,21
2016,0,0,10,111
2016,0,5,16,22
2016,5,0,41,23
2016,5,5,2,24
2016,10,-10,5,25
2016,10,-5,9,112
2016,10,30,1,138
2016,15,30,1,167
2016,30,-20,1,124
2016,30,25,1,114
2016,35,-25,1,168
2016,35,-5,2,89
2016,40,10,9,32
2016,40,15,1,33
2016,45,-20,1,169
2016,45,5,1,37
2016,45,10,1,38
2016,45,25,1,91
2016,50,0,2,41
2016,50,10,1,43
2016,65,20,1,117
2016,70,20,7,58
2016,80,15,3,63
2016,85,20,4,64
2016,90,20,11,65
2016,95,0,1,66
2016,100,0,26,69
2016,105,-10,9,70
2016,105,-5,1,104
2016,105,0,3,71
2016,105,10,7,73
2016,105,20,2,74
2016,110,-10,1,105
2016,110,-5,3,106
2016,110,0,5,75
2016,110,15,7,146
2016,115,-5,10,78
2016,115,0,12,79
2016,115,5,14,80
2016,115,30,1,170
2016,115,35,3,119
2016,120,5,6,82
2016,120,10,3,83
2016,120,35,2,108
2016,125,0,1,157
2016,125,5,3,132
2016,125,35,1,171
2016,145,-10,1,172
2016,150,-15,1,160
2016,150,5,1,173
2016,175,-20,1,174
2017,-90,15,8,151
2017,-85,-5,1,1
2017,-85,5,2,2
2017,-85,15,4,4
2017,-80,-15,3,5
2017,-80,0,2,8
2017,-80,5,3,120
2017,-80,10,12,9
2017,-75,10,3,85
2017,-75,15,5,10
2017,-70,10,2,153
2017,-70,15,9,121
2017,-65,10,64,11
2017,-65,15,2,12
2017,-60,5,6,13
2017,-50,-25,2,133
2017,-30,35,2,175
2017,-25,10,2,176
2017,-20,15,4,177
2017,-15,5,11,19
2017,-5,0,4,110
2017,-5,5,2,21
2017,0,0,14,111
2017,0,5,25,22
2017,5,0,103,23
2017,5,5,2,24
2017,10,-10,2,25
2017,10,-5,1,112
2017,10,30,1,138
2017,10,35,2,178
2017,20,30,2,140
2017,30,-20,2,124
2017,35,-10,2,27
2017,35,-5,2,89
2017,40,-15,2,28
2017,40,10,49,32
2017,40,15,2,33
2017,45,-5,8,35
2017,45,0,2,36
2017,45,5,10,37
2017,45,10,18,38
2017,50,5,2,42
2017,50,10,26,43
2017,50,15,9,93
2017,55,-25,1,179
2017,55,5,2,47
2017,55,20,2,50
2017,55,25,6,51
2017,60,10,2,55
