year,iso3,hours
2014,ARG,1530331.5027777778
2014,POL,835131.8263888889
2014,ITA,4111719.3549999995
2014,THA,1361856.682222222
2014,DJI,157775.4388888889
2014,TUR,7004817.819722222
2014,NIC,153437.58305555553
2014,KHM,73624.8513888889
2014,TTO,482335.43944444455
2014,LTU,246080.7088888889
2014,AZE,311111.4677777777
2014,MAR,1297594.0611111112
2014,LKA,1579061.1261111111
2014,NRU,25251.142777777775
2014,BRN,40522.29777777778
2014,SVN,75064.43555555557
2014,DZA,1720450.7002777772
2014,KWT,183962.695
2014,OMN,1212939.149444444
2014,IRQ,250517.8575
2014,MLT,694886.0169444444
2014,TKM,339912.8708333333
2014,BHR,177746.54222222223
2014,CHN,75961030.57666671
2014,SYC,168410.08333333334
2014,MOZ,567513.0625
2014,TUN,724965.3633333334
2014,ISR,439564.87333333347
2014,VNM,2017109.9263888886
2014,IRN,2301011.2725
2014,PAN,1602553.373055556
2014,CPV,298114.9105555556
2014,RUS,9884833.861666666
2014,LBY,594072.0980555555
2014,IRL,439687.2052777778
2014,JOR,116961.56277777778
2014,CIV,477621.0780555555
2014,GRC,3733032.7922222223
2014,BGR,609002.2016666667
2014,COD,148122.8738888889
2014,PRK,194022.36055555556
2014,MDV,157731.86694444442
2014,MRT,417980.3602777779
2014,BEN,216760.94888888884
2014,GRD,40963.91805555555
2014,WSM,6626.422777777778
2014,MYS,3577714.502500001
2014,UKR,2558685.792222223
2014,KNA,15977.684444444445
2014,CYP,471571.10694444453
2014,BGD,309699.4813888889
2014,FJI,92154.0997222222
2014,PAK,663665.7563888889
2014,MCO,1117.869166666667
2014,PSE,871.4241666666666
2014,VUT,22108.47277777778
2014,LBN,241607.2538888889
2014,ATG,34759.95583333333
2014,EST,537946.8933333332
2014,GAB,261095.0702777778
2014,ESH,604488.728888889
2014,NAM,485273.75749999995
2014,LCA,33103.83166666667
2014,MHL,127091.35166666667
2014,ROU,787173.573888889
2014,SWE,2270910.015
2014,GNB,168010.41583333336
2014,QAT,456802.37222222233
2014,GIN,234028.1786111111
2014,SGP,4196186.212222222
2014,FSM,569234.0683333335
2014,IDN,11453825.52416667
2014,MMR,312518.72055555554
2014,BLZ,45202.99666666666
2014,"NA",196442.70083333334
2014,SOM,109119.43916666668
2014,TZA,230257.03
2014,SAU,1768472.4997222223
2014,KAZ,227311.6025
2015,IRN,2077358.7672222226
2015,FSM,564850.9522222222
2015,SUR,142922.97638888887
2015,GTM,225430.92555555562
2015,LVA,523262.84083333326
2015,JOR,140140.44638888887
2015,EGY,2273148.750277778
2015,ISR,492669.8552777779
2015,QAT,787655.285277778
2015,WSM,6770.020555555554
2015,OMN,1319892.1394444448
2015,SGP,4238947.291944446
2015,MEX,2666551.6644444442
2015,IRL,450203.94583333336
2015,NRU,22436.082500000004
2015,MUS,703845.9238888889
2015,BLZ,41517.39222222222
2015,ESH,599728.3425000001
2015,TUV,39811.145833333336
2015,MOZ,607579.7477777777
2015,CYP,500700.1875000002
2015,KNA,17783.583888888887
2015,PAK,628702.7575000002
2015,NAM,457187.705
2015,MDV,222135.60666666666
2015,TZA,215464.36194444445
2015,NIC,159180.67638888894
2015,LBR,313428.1236111112
2015,BGD,343161.3016666667
2015,MMR,287186.6694444444
2015,SYR,75170.53527777776
2015,ALB,111053.27416666666
2015,GHA,650278.9650000002
2015,LBN,255574.31777777785
2015,DJI,249120.64111111115
2015,LCA,35102.428888888884
2015,SOM,145107.3761111111
2015,MHL,135688.05277777778
2015,BGR,595509.9144444445
2015,PRK,182284.96500000003
2015,SLB,208886.69138888892
2015,GNQ,236876.40388888886
2015,SWE,2233325.7966666673
2015,TTO,502255.3316666667
2015,COG,256198.54499999998
2015,UKR,2324900.9919444444
2015,ATG,42381.195
2015,FJI,89366.28305555557
2015,TGO,572168.5838888888
2015,FIN,856594.3205555559
2015,EST,516870.28305555554
2015,PLW,126911.70250000001
2015,VUT,20576.13333333334
2015,"NA",93519.79722222222
2015,HRV,442575.4022222223
2015,BIH,4.2
2015,SAU,1874984.9683333335
2015,KWT,599482.3886111112
2015,DEU,5910586.035555555
2015,SLV,97675.95833333333
2015,BHR,212408.94777777776
2015,LKA,1599848.8658333328
2015,BEN,156825.17083333337
2015,KAZ,209309.3913888889
2015,POL,811430.6283333336
2015,AGO,879059.5394444446
2015,TUN,661763.3091666665
2015,PAN,1761401.7630555553
2015,AZE,331707.22000000003
2015,MNE,23798.171388888884
2015,YEM,1272082.6041666665
2015,MLT,692115.5844444446
2015,KHM,42011.19777777778
2015,SYC,195402.4288888889
2015,MYS,3944110.4725
2015,GMB,61254.520277777774
2015,GAB,234755.12138888883
2015,NGA,1370435.0083333333
2015,TON,26635.491666666665
2015,MCO,1109.5827777777777
2015,GEO,195462.30472222224
2015,DMA,20917.37388888889
2015,IRQ,180686.56722222222
2015,RUS,8550911.315000001
2015,ARG,1437999.9994444444
2015,GNB,164551.85944444442
2015,IDN,11582744.773333333
2015,COM,69835.00250000002
2015,GRD,40707.512500000004
2015,MAR,1334984.1338888886
2015,SLE,234820.7422222222
2015,CMR,382427.96166666667
2015,CHN,68958476.26194446
2015,TUR,7407039.539722222
2015,CUB,653302.7888888889
2015,PHL,3724444.777777778
2015,BHS,751037.6786111111
2015,SVN,80321.39555555556
2015,ITA,4185688.016944444
2015,ROU,740298.2080555557
2015,BRN,64815.392777777786
2015,GIN,244471.70444444445
2015,BEL,2996700.836111111
2015,COD,107889.75166666668
2015,GRC,3907376.7880555554
2015,THA,1756849.5847222223
2015,VNM,1724382.1997222223
2015,LTU,261722.6277777778
2015,CPV,322800.89749999996
2015,VCT,27842.983888888888
2015,PSE,818.5238888888888
2015,LBY,445673.3225000001
2015,MRT,382639.18833333335
2015,DZA,1695392.375
2015,CIV,496437.95388888894
2015,TKM,380008.41638888896
2016,UKR,2335048.3405555557
2016,SYC,188512.61999999997
2016,BRN,55715.805833333354
2016,KHM,83821.91305555556
2016,JOR,127075.79361111115
2016,NRU,9736.515555555556
2016,OMN,1552459.9805555556
2016,GHA,665312.5172222224
2016,LTU,272749.445
2016,IRN,2366103.3688888885
2016,MRT,363829.2958333334
2016,HRV,431451.1675000001
2016,PSE,593.6752777777776
2016,BHR,171780.78805555557
2016,IRL,510216.5269444444
2016,PLW,132154.0813888889
2016,MCO,1026.0366666666666
2016,MLT,817568.4244444446
2016,"NA",147768.87666666665
2016,SVN,88347.32361111112
2016,SAU,1870974.958333333
2016,GRD,41857.008333333324
2016,COD,57925.790833333325
2016,IRQ,206214.9075
2016,MYS,4472433.808055555
2016,EST,567203.0252777778
2016,SWE,2274581.0227777776
2016,ALB,119770.35583333338
2016,CIV,458440.7683333334
2016,MNE,15764.783333333333
2016,CPV,340444.20999999996
2016,ISR,598454.0025000003
2016,CMR,258300.70555555559
2016,AGO,683267.5480555554
2016,VCT,29375.809444444443
2016,BEN,132674.6163888889
2016,AZE,409208.3930555556
2016,YEM,1531211.148888889
2016,MHL,146913.17194444448
2016,KNA,18485.863611111112
2016,ROU,716076.5138888891
2016,SGP,4068792.125000001
2016,COM,65833.34222222223
2016,KWT,664234.6119444447
2016,GEO,182332.39500000005
2016,PRK,150828.2247222222
2016,MMR,313526.4802777778
2016,DMA,19588.195277777777
2016,GNB,161252.1311111111
2016,FIN,869931.9038888891
2016,GNQ,214148.31833333336
2016,SLB,247576.2375
2016,VNM,1310104.6755555558
2016,CUB,762487.1144444444
2016,FSM,600363.272777778
2016,LBY,471628.53333333344
2016,GIN,268003.6730555557
2016,COG,193139.22777777782
2016,LBN,308662.8933333334
2016,SUR,131756.67500000002
2016,LCA,35272.96138888889
2016,SLV,99974.50666666668
2016,IDN,13050446.671666665
2016,EGY,2408712.3825000003
2016,TTO,466957.0505555556
2016,LBR,298103.0936111111
2016,NGA,1202622.1950000005
2016,ITA,4342184.385833333
2016,THA,2261163.5536111114
2016,ESH,573002.5019444445
2016,KAZ,210559.17194444448
2016,BGR,521855.2016666668
2016,GMB,60372.46333333333
2016,TON,29996.13861111112
2016,CHN,86584046.59138894
2016,TKM,301001.5880555556
2016,NIC,158772.2086111111
2016,MDV,308802.64527777774
2016,RUS,8800815.41
2016,MAR,1511661.3336111114
2016,BLZ,43992.551388888896
2016,ATG,38224.73944444444
2016,PAK,843929.9975
2016,MOZ,535631.5236111112
2016,LKA,1691203.2152777778
2016,PHL,4757163.933055556
2016,CYP,526610.2894444446
2016,VUT,24917.076944444445
2016,SOM,181177.99972222224
2016,ARG,1525249.9455555556
