"","year","country","attacks","icd_tot","icd_1000","pop","ef_os","ps","unem","gulf"
"108",2012,"Oman",29,0,0,"3498029",67.9,0.46,3.519999981,"Aden"
"109",2012,"Somalia",7,2646,0.208092322,"12715510",NA,-2.86,13.39000034,"Aden"
"110",2012,"Tanzania",1,0,0,"47052481",57,0.05,3.190000057,"Aden"
"111",2012,"Togo",14,0,0,"6773807",48.3,-0.39,2.049999952,"Guinea"
"112",2012,"Yemen",25,2330,0.09520627,"24473178",55.3,-2.43,13.23999977,"Aden"
"113",2013,"Angola",0,0,0,"26015780",47.3,-0.39,7.380000114,"Guinea"
"114",2013,"Benin",0,0,0,"10004588",57.6,0.3,2.660000086,"Guinea"
"115",2013,"Cameroon",1,0,0,"22077298",52.3,-0.53,3.710000038,"Guinea"
"116",2013,"Djibouti",0,0,0,"883293",53.9,-0.1,11.53999996,"Aden"
"117",2013,"Eritrea",2,0,0,"N/A",36.3,-0.77,6.78000021,"Aden"
"118",2013,"Gabon",3,0,0,"1817071",57.8,0.33,20.40999985,"Guinea"
"119",2013,"Ghana",3,0,0,"26607642",61.3,0.06,6.260000229,"Guinea"
"120",2013,"Kenya",0,0,0,"45519889",55.9,-1.17,2.869999886,"Aden"
"121",2013,"Nigeria",47,1629,0.009483845,"171765769",55.1,-2.09,3.700000048,"Guinea"
"122",2013,"Oman",4,0,0,"3764805",68.1,0.46,3.420000076,"Aden"
"123",2013,"Somalia",6,940,0.071955079,"13063706",NA,-2.76,13.40999985,"Aden"
"124",2013,"Tanzania",0,0,0,"48482266",57.9,-0.16,2.930000067,"Aden"
"125",2013,"Togo",7,0,0,"6954721",48.8,-0.35,2.119999886,"Guinea"
"126",2013,"Yemen",18,582,0.023143813,"25147109",55.9,-2.37,13.40999985,"Aden"
"127",2014,"Angola",2,0,0,"26941779",47.7,-0.33,7.309999943,"Guinea"
"128",2014,"Benin",0,0,0,"10286842",57.1,0.03,2.609999895,"Guinea"
"129",2014,"Cameroon",0,0,0,"22681858",52.6,-1.06,3.529999971,"Guinea"
"130",2014,"Djibouti",6,0,0,"898696",55.9,-0.77,11.44999981,"Aden"
"131",2014,"Eritrea",4,0,0,"N/A",38.5,-0.81,6.710000038,"Aden"
"132",2014,"Gabon",0,0,0,"1883800",57.8,0.15,20.29999924,"Guinea"
"133",2014,"Ghana",4,0,0,"27224472",64.2,-0.11,6.519999981,"Guinea"
"134",2014,"Kenya",0,0,0,"46699981",57.1,-1.28,2.819999933,"Aden"
"135",2014,"Nigeria",30,4780,0.027096753,"176404902",54.3,-2.13,4.559999943,"Guinea"
"136",2014,"Oman",3,0,0,"4027260",67.4,0.73,3.369999886,"Aden"
"137",2014,"Somalia",2,1153,0.085893655,"13423576",NA,-2.52,13.31999969,"Aden"
"138",2014,"Tanzania",1,0,0,"49959822",57.8,-0.6,2.130000114,"Aden"
"139",2014,"Togo",4,0,0,"7137997",49.9,-0.17,2.160000086,"Guinea"
"140",2014,"Yemen",7,1660,0.064282571,"25823485",55.5,-2.67,13.47000027,"Aden"
"141",2015,"Angola",1,0,0,"27884381",47.9,-0.5,7.260000229,"Guinea"
"142",2015,"Benin",0,0,0,"10575952",58.8,-0.01,2.569999933,"Guinea"
"143",2015,"Cameroon",2,995,0.042706854,"23298368",51.9,-0.99,3.50999999,"Guinea"
"144",2015,"Djibouti",0,0,0,"913993",57.5,-0.44,11.39000034,"Aden"
"145",2015,"Eritrea",0,0,0,"N/A",38.9,-0.88,6.659999847,"Aden"
"146",2015,"Gabon",0,0,0,"1947686",58.3,0.02,20.21999931,"Guinea"
"147",2015,"Ghana",3,0,0,"27849205",63,-0.03,6.809999943,"Guinea"
"148",2015,"Kenya",0,42,0.000877223,"47878336",55.6,-1.24,2.799999952,"Aden"
"149",2015,"Nigeria",16,4622,0.025516535,"181137448",55.6,-1.93,4.309999943,"Guinea"
"150",2015,"Oman",0,0,0,"4267348",66.7,0.78,3.319999933,"Aden"
"151",2015,"Somalia",2,1202,0.087119119,"13797201",NA,-2.38,13.25,"Aden"
"152",2015,"Tanzania",0,0,0,"51482633",57.5,-0.42,2.099999905,"Aden"
"153",2015,"Togo",3,0,0,"7323158",53,-0.23,2.200000048,"Guinea"
"154",2015,"Yemen",1,6794,0.256397783,"26497889",53.7,-2.68,13.39999962,"Aden"
"155",2016,"Angola",3,25,0.000866777,"28842484",48.9,-0.32,7.199999809,"Guinea"
"156",2016,"Benin",2,0,0,"10872067",59.3,0,2.519999981,"Guinea"
"157",2016,"Cameroon",1,221,0.009236605,"23926539",54.2,-1.06,3.470000029,"Guinea"
"158",2016,"Djibouti",1,0,0,"929112",56,-0.63,11.31000042,"Aden"
"159",2016,"Eritrea",5,0,0,"N/A",42.7,-0.66,6.599999905,"Aden"
"160",2016,"Gabon",0,0,0,"2007873",59,-0.1,20.11000061,"Guinea"
"161",2016,"Ghana",2,0,0,"28481946",63,-0.13,5.449999809,"Guinea"
"162",2016,"Kenya",0,49,0.000998946,"49051686",57.5,-1.35,2.75999999,"Aden"
"163",2016,"Nigeria",56,2448,0.013164101,"185960289",57.5,-1.88,7.059999943,"Guinea"
"164",2016,"Oman",0,0,0,"4479219",67.1,0.76,3.269999981,"Aden"
"165",2016,"Somalia",1,1925,0.135700868,"14185613",NA,-2.36,13.17000008,"Aden"
"166",2016,"Tanzania",0,0,0,"53050790",58.5,-0.44,2.079999924,"Aden"
"167",2016,"Togo",3,0,0,"7509952",53.6,-0.17,2.950000048,"Guinea"
