year,iso3,hours
2012,SLB,169431.21083333335
2012,FJI,74707.765000000014
2012,MAR,1069635.7997222224
2012,MOZ,454369.06833333324
2012,MEX,2262818.6183333332
2012,BIH,9.13
2012,MLT,321603.71833333332
2012,SLV,81240.785555555558
2012,GEO,57726.969166666684
2012,TZA,315392.0897222223
2012,GTM,137984.3666666667
2012,SYC,83149.492777777748
2013,TUV,8968.40888888889
2013,GIN,273935.94361111108
2013,MEX,2604980.9024999994
2013,VNM,2013226.5091666665
2013,SAU,1617437.8188888892
2013,MOZ,517159.11166666663
2013,SVN,80143.311111111121
2013,PAK,592835.69583333342
2013,LVA,436112.44777777785
2013,ATG,34334.06
2013,NAM,457649.65611111117
2013,MLT,670553.53416666668
2013,DJI,157063.31861111108
2013,FSM,599518.98055555555
2013,MUS,654838.09972222219
2013,CUB,641292.43444444449
2013,CIV,496620.84361111117
2013,QAT,393419.94388888904
2013,MCO,1690.024722222222
2013,IRQ,103836.50444444446
2013,GMB,58814.349444444444
2013,PRK,193843.80277777783
2013,TZA,245533.31527777776
2013,FJI,88600.336944444425
2013,AZE,321147.50416666677
2013,MYS,3187548.6800000006
2013,VCT,24891.91305555556
2013,TTO,486954.82638888888
2013,MNE,42439.103888888872
2013,OMN,1154123.4613888885
2013,ITA,4149759.1333333328
2013,CHN,70739225.87166667
2013,SGP,3849119.1319444436
2013,ARG,1540710.5202777779
2013,GAB,280094.7925
2013,COD,138998.4813888889
2013,BGR,588272.30972222215
2013,GEO,238622.31166666665
2013,HRV,433925.21138888889
2013,IDN,11537181.268888885
2013,EGY,2441430.4761111108
2013,GRC,3819518.5605555545
2013,DZA,1503547.4158333335
2013,BEL,2943503.8108333335
2013,UKR,2520489.6627777778
2013,FIN,957311.30694444466
2013,IRN,1811375.2238888892
2013,LKA,1476675.0494444445
2013,PHL,3175751.4338888894
2013,JOR,103170.48222222224
2013,MDV,132339.48944444445
2013,MHL,101803.51222222224
2013,BLZ,47267.085833333331
2013,TUR,7061515.6219444443
2013,TKM,312014.77499999997
2013,BEN,202441.77583333338
2013,BRN,65299.89611111112
2013,NA,210737.21416666667
2013,MAR,1158790.7658333336
2013,SLE,333300.76333333348
2013,TUN,647851.28305555566
2013,NIC,154234.73444444445
2013,ALB,48109.135555555556
2013,SUR,131912.4336111111
2013,POL,780675.68972222216
2013,CYP,482412.04277777771
2013,MRT,387755.92750000005
2013,NGA,1383674.9594444444
2013,DMA,19931.345833333329
2013,GRD,38416.004722222213
2013,THA,1156921.4816666665
2013,KNA,15274.238888888887
2013,NRU,20522.530833333331
2013,LBR,336458.34777777776
2013,KHM,74417.1025
2013,CMR,266198.0008333333
2013,GNB,171302.70888888891
2013,SYC,121505.64500000002
2013,RUS,8851565.7211111132
2013,CPV,304275.00499999995
2013,PAN,1619266.0244444443
2013,KAZ,200254.48555555558
2013,SLB,207035.92111111112
2013,PLW,115403.98972222221
2013,MMR,308581.51777777774
2013,SLV,83688.697500000024
2013,BGD,195806.96666666667
2013,COM,34497.276944444449
2013,WSM,6924.4149999999991
2013,COG,299836.241111111
2013,EST,495517.55222222215
2013,PSE,833.88722222222214
2013,AGO,1007632.0177777779
2013,LBY,787152.7024999999
2013,LTU,223644.24805555562
